nct_id,nct_id_original,pt_cohort,include,concept_id,concept_name,domain,negation,concept_group_id,start_index,end_index,entity_source_text,temporal_source_text,before_days,numeric_source_text,numeric_att_min,numeric_att_max,is_exclusion,to_display
NCT04332991,NCT04332991,1,1,437663,Fever,Condition,0,870842574,219,224,fever,"",0,> 37.5 C / 99.5 F,37.5,99.5,0,1
NCT04345614,NCT04345614,1,0,1507835,Vasopressin (USP),Drug,0,870872174,2105,2117,vasopressors,"",0,"",-99999,99999,1,1
NCT04347226,NCT04347226,1,0,1507835,Vasopressin (USP),Drug,0,870875974,3866,3878,vasopressors,"",0,"",-99999,99999,1,1
NCT04347239,NCT04347239,1,0,1507835,Vasopressin (USP),Drug,0,,3015,3027,vasopressors,at rest,0,"",-99999,99999,1,1
NCT04365257,NCT04365257,1,0,1507835,Vasopressin (USP),Drug,0,870919474,1387,1399,vasopressors,"",0,"",-99999,99999,1,1
NCT04401410,NCT04401410,1,0,1507835,Vasopressin (USP),Drug,0,,2018,2030,vasopressors,prior,0,"",-99999,99999,1,1
NCT04402840,NCT04402840,1,0,1507835,Vasopressin (USP),Drug,0,870977374,428,440,vasopressors,"",0,"",-99999,99999,1,1
NCT04365153,NCT04365153,1,0,37018292,Continuous renal replacement therapy,Procedure,0,,2263,2296,chronic renal replacement therapy,"",0,"",-99999,99999,1,1
NCT04409262,NCT04409262,1,0,4050864,Hemofiltration,Procedure,0,870983774,1298,1312,hemofiltration,"",0,"",-99999,99999,1,1
NCT04311697,NCT04311697,1,0,4090272,Anuria,Condition,0,870820474,957,963,Anuria,"",0,"",-99999,99999,1,1
NCT04283461,NCT04283461,1,0,317009,Asthma,Condition,0,870815774,6895,6901,asthma,"",0,"",-99999,99999,1,1
NCT04363866,NCT04363866,1,1,1792515,Chloroquine,Drug,1,870915674,644,655,chloroquine,"",0,"",-99999,99999,1,1
NCT04363437,NCT04363437,1,0,1101554,Colchicine,Drug,0,,1176,1186,colchicine,"",0,"",-99999,99999,1,1
NCT04362813,NCT04362813,1,0,432545,Bacterial infectious disease,Condition,1,870911474,1138,1186,bacterial infection,"",0,"",-99999,99999,0,1
NCT04362137,NCT04362137,1,0,432545,Bacterial infectious disease,Condition,0,870909874,1368,1412,bacterial infection,"",0,"",-99999,99999,1,1
NCT04363736,NCT04363736,1,0,432545,Bacterial infectious disease,Condition,0,870915074,1138,1182,bacterial infection,"",0,"",-99999,99999,1,1
NCT04365153,NCT04365153,1,0,432545,Bacterial infectious disease,Condition,0,870918574,1227,1256,bacterial infection,"",0,"",-99999,99999,1,1
NCT04372186,NCT04372186,1,0,432545,Bacterial infectious disease,Condition,0,870932374,428,472,bacterial infection,"",0,"",-99999,99999,1,1
NCT04372602,NCT04372602,1,0,432545,Bacterial infectious disease,Condition,0,870934774,2659,2704,bacterial infection,"",0,"",-99999,99999,1,1
NCT04376684,NCT04376684,1,0,432545,Bacterial infectious disease,Condition,0,870942474,2093,2137,bacterial infection,"",0,"",-99999,99999,1,1
NCT04377620,NCT04377620,1,0,432545,Bacterial infectious disease,Condition,0,870944474,1141,1185,bacterial infection,"",0,"",-99999,99999,1,1
NCT04380688,NCT04380688,1,0,432545,Bacterial infectious disease,Condition,0,870948274,1300,1344,bacterial infection,"",0,"",-99999,99999,1,1
NCT04380961,NCT04380961,1,0,432545,Bacterial infectious disease,Condition,0,870950374,4321,4423,bacterial infection,"",0,"",-99999,99999,1,1
NCT04399980,NCT04399980,1,0,432545,Bacterial infectious disease,Condition,0,870971974,1685,1714,bacterial infection,"",0,"",-99999,99999,1,1
NCT04334967,NCT04334967,1,0,1326303,Digoxin,Drug,0,870849574,1366,1373,digoxin,Concomitant,0,"",-99999,99999,1,1
NCT04340232,NCT04340232,1,0,21603891,IMMUNOSUPPRESSANTS,Drug,0,870858574,1208,1226,immunosuppressants,concurrently,0,"",-99999,99999,1,1
NCT04372628,NCT04372628,1,0,21602433,Ergot alkaloids,Drug,0,870936374,2774,2800,ergot-containing medicines,during 14-day study period,14,"",-99999,99999,1,1
NCT04350593,NCT04350593,1,0,793293,ertugliflozin,Drug,0,870882574,1408,1421,ertugliflozin,within 4 weeks prior to screening,28,"",-99999,99999,1,1
NCT04308668,NCT04308668,1,0,1746940,Erythromycin,Drug,0,870819274,1065,1077,erythromycin,Current,10000,"",-99999,99999,1,1
NCT04372628,NCT04372628,1,0,1746940,Erythromycin,Drug,0,870935774,2310,2322,erythromycin,"",0,"",-99999,99999,1,1
NCT04374552,NCT04374552,1,0,1746940,Erythromycin,Drug,0,,602,614,erythromycin,within 1 week of enrollment,7,"",-99999,99999,1,1
NCT04308668,NCT04308668,1,0,715939,Escitalopram,Drug,0,870819374,1179,1191,escitalopram,"",0,"",-99999,99999,1,1
NCT04372628,NCT04372628,1,0,715939,Escitalopram,Drug,0,870935674,2224,2236,escitalopram,"",0,"",-99999,99999,1,1
NCT04380688,NCT04380688,1,0,904453,Esomeprazole,Drug,0,870948874,2075,2087,esomeprazole,"",0,"",-99999,99999,1,1
NCT04359329,NCT04359329,1,0,21602472,Hormonal Contraceptives for Systemic Use,Drug,0,,431,462,estrogen based hormonal therapy,History of,0,"",-99999,99999,1,1
NCT04397718,NCT04397718,1,0,21603814,Estrogens,Drug,0,870968974,2107,2116,Estrogens,within 2 weeks,14,"",-99999,99999,1,1
NCT04391309,NCT04391309,1,0,43168581,Etanercept 10 MG [Enbrel],Drug,0,870963374,2026,2045,etanercept (Enbrel),treatment within 30 days,30,"",-99999,99999,1,1
NCT04388826,NCT04388826,1,0,21603126,Antivirals for Systemic Use,Drug,0,,2327,2420,experimental agents with actual or possible direct acting antiviral activity against COVID-19,at screening,0,"",-99999,99999,1,1
NCT04350593,NCT04350593,1,0,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Drug,0,870882374,1187,1217,experimental immune modulators,Currently,10000,"",-99999,99999,1,1
NCT04411602,NCT04411602,1,0,43012760,Interleukin-5,Drug,0,870987474,503,521,factor replacement,"",0,"",-99999,99999,1,1
NCT04346628,NCT04346628,1,0,32765,Favipiravir,Drug,0,,936,947,favipiravir,Previously,10000,"",-99999,99999,1,1
NCT04358549,NCT04358549,1,0,32765,Favipiravir,Drug,0,,1358,1369,favipiravir,at the time of study entry,10000,"",-99999,99999,1,1
NCT04365257,NCT04365257,1,0,32765,Favipiravir,Drug,0,870919374,1206,1217,favipiravir,"",0,"",-99999,99999,1,1
NCT04334967,NCT04334967,1,0,21604858,tinidazole,Drug,0,870849574,1257,1269,fexinidazole,Concomitant,0,"",-99999,99999,1,1
NCT04308668,NCT04308668,1,0,1354860,Flecainide,Drug,0,870819174,747,757,flecainide,Current,10000,"",-99999,99999,1,1
NCT04328467,NCT04328467,1,0,1354860,Flecainide,Drug,0,870833174,880,890,flecainide,Current,10000,"",-99999,99999,1,1
NCT04329832,NCT04329832,1,0,1354860,Flecainide,Drug,0,870834874,530,540,flecainide,Concomitant,0,"",-99999,99999,1,1
